scenario,theta_multiplier,theta_per_m,exchange_coefficient,boundary_layer_depth_m,comparison_hour,final_wind_ms,final_core_moisture,final_central_pressure_hpa,final_rmw_km,delta_wind_ms,delta_core_moisture,delta_central_pressure_hpa,delta_rmw_km
open_ocean_intensifying,0.7,4.666666666666666e-07,0.0008399999999999999,1800.0,48.0,45.60705089881032,0.8502585985465939,954.4349630077205,31.056650636437702,-1.9708021768169885,-0.008652279192359558,0.6844569869572297,1.2491736523731944
open_ocean_intensifying,0.71,4.733333333333333e-07,0.0008519999999999999,1800.0,48.0,45.69746437773363,0.8506878135510957,954.4117560967861,30.99716449583011,-1.8803886978936788,-0.008223064187857787,0.6612500760228386,1.1896875117656016
open_ocean_intensifying,0.72,4.8e-07,0.0008639999999999999,1800.0,48.0,45.78601578199351,0.8511056394925677,954.3885678024549,30.93911597212463,-1.7918372936337974,-0.007805238246385793,0.6380617816915901,1.1316389880601214
open_ocean_intensifying,0.73,4.866666666666666e-07,0.0008759999999999999,1800.0,48.0,45.872718927788235,0.85151226648304,954.3653990945478,30.882481531558565,-1.7051341478390754,-0.0073986112559134565,0.6148930737845149,1.075004547494057
open_ocean_intensifying,0.74,4.933333333333333e-07,0.0008879999999999999,1800.0,48.0,45.95758822170257,0.8519078833578478,954.3422509324499,30.827237813669964,-1.6202648539247377,-0.007002994381105632,0.5917449116866464,1.019760829605456
open_ocean_intensifying,0.75,5e-07,0.0009,1800.0,48.0,46.040638631373575,0.8522926776189975,954.3191242651114,30.773361639345893,-1.5372144442537348,-0.006618200119955953,0.5686182443481584,0.9658846552813856
open_ocean_intensifying,0.76,5.066666666666667e-07,0.0009119999999999999,1800.0,48.0,46.12188565663446,0.8526668353805399,954.2960200310521,30.7208300182678,-1.4559674189928486,-0.006244042358413582,0.5455140102887981,0.9133530342032934
open_ocean_intensifying,0.77,5.133333333333333e-07,0.0009239999999999999,1800.0,48.0,46.20134530114829,0.8530305413160246,954.2729391583583,30.66962015578324,-1.3765077744790233,-0.005880336422928845,0.5224331375950442,0.8621431717187313
open_ocean_intensifying,0.78,5.2e-07,0.000936,1800.0,48.0,46.27903404454772,0.8533839786080877,954.249882564697,30.619709459236837,-1.2988190310795886,-0.005526899130865792,0.4993765439337494,0.8122324751723298
open_ocean_intensifying,0.79,5.266666666666667e-07,0.000948,1800.0,48.0,46.354968815091276,0.853727328900218,954.2268511573122,30.571075543788634,-1.2228842605360342,-0.005183548838735508,0.47634513654895727,0.7635985597241266
open_ocean_intensifying,0.7999999999999999,5.333333333333332e-07,0.0009599999999999998,1800.0,48.0,46.4291669628489,0.8540607722507421,954.2038458330322,30.52369623774742,-1.1486861127784067,-0.004850105488211409,0.4533398122689505,0.7162192536829117
open_ocean_intensifying,0.8099999999999999,5.399999999999999e-07,0.0009719999999999999,1800.0,48.0,46.50164623342798,0.8543844870890538,954.1808674782752,30.477549587444287,-1.0762068421993334,-0.004526390649899681,0.43036145751193544,0.6700726033797793
open_ocean_intensifying,0.82,5.466666666666666e-07,0.0009839999999999998,1800.0,48.0,46.57242474224901,0.8546986501741056,954.1579169690558,30.432613861672746,-1.0054283333782976,-0.004212227564847848,0.40741094829252233,0.625136877608238
open_ocean_intensifying,0.83,5.533333333333333e-07,0.000996,1800.0,48.0,46.64152094938017,0.8550034365551741,954.1349951709923,30.388867555716285,-0.9363321262471374,-0.003907441183779392,0.3844891502290011,0.5813905716517773
open_ocean_intensifying,0.84,5.599999999999999e-07,0.0010079999999999998,1800.0,48.0,46.70895363493945,0.8552990195349032,954.1121029393134,30.346289394987252,-0.8688994406878621,-0.0036118582040503,0.3615969185501626,0.5388124109227448
open_ocean_intensifying,0.85,5.666666666666666e-07,0.0010199999999999999,1800.0,48.0,46.77474187506992,0.8555855706346176,954.0892411188679,30.304858338296263,-0.8031112005573888,-0.003325307104335873,0.3387350981046211,0.4973813542317558
open_ocean_intensifying,0.86,5.733333333333333e-07,0.001032,1800.0,48.0,46.83890501849659,0.8558632595619035,954.0664105441313,30.264553580773633,-0.7389480571307203,-0.0030476181770500155,0.31590452336797625,0.4570765967091255
open_ocean_intensifying,0.87,5.8e-07,0.001044,1800.0,48.0,46.901462663667715,0.8561322541804317,954.0436120392186,30.225354556459273,-0.6763904119595949,-0.0027786235585217645,0.2931060184553189,0.4178775723947652
open_ocean_intensifying,0.88,5.866666666666666e-07,0.0010559999999999999,1800.0,48.0,46.96243463648688,0.8563927204820097,954.0208464178951,30.187240940580484,-0.6154184391404272,-0.0025181572569438204,0.2703403971318039,0.3797639565159763
open_ocean_intensifying,0.89,5.933333333333333e-07,0.001068,1800.0,48.0,47.02184096863776,0.8566448225608304,953.9981144835842,30.150192651533388,-0.5560121069895487,-0.002266055178123061,0.24760846282094917,0.34271566746888027
open_ocean_intensifying,0.9,6e-07,0.00108,1800.0,48.0,47.07970187650511,0.8568887225898888,953.9754170293849,30.114189852584193,-0.49815119912219785,-0.002022155149064675,0.2249110086215751,0.3067128685196856
open_ocean_intensifying,0.91,6.066666666666666e-07,0.0010919999999999999,1800.0,48.0,47.13603774069317,0.8571245807995339,953.952754838081,30.079212953305124,-0.44181533493414094,-0.0017862969394195627,0.20224881731769528,0.27173596924061627
