SID,NAME,typhoon_id,measure_type,station_id,station_name,station_lat,station_lon,distance_to_landfall_km,observation_time_local,observation_time_utc,time_offset_hours,tdb_wind_ms,averaging_window_minutes,codis_wind_ms,codis_observation_time_utc,tdb_minus_codis_ms,comparison_status,source_url,raw_sha256,evidence_label
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A710,林口,25.08,121.38,134.21005509950336,2015-08-08T04:00:00+08:00,2015-08-07T20:00:00+00:00,-1.7748664766666666,3.6,,3.6,2015-08-07T20:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A860,大坪,25.17,121.63,142.51761796837994,2015-08-08T05:00:00+08:00,2015-08-07T21:00:00+00:00,-0.7748664766666666,22.0,,22.0,2015-08-07T21:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A870,五指山,25.13,121.61,138.0318915361165,2015-08-08T06:00:00+08:00,2015-08-07T22:00:00+00:00,0.22513352333333334,35.4,,35.4,2015-08-07T22:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A880,福隆,25.02,121.94,130.59145447299719,2015-08-08T06:00:00+08:00,2015-08-07T22:00:00+00:00,0.22513352333333334,14.8,,14.8,2015-08-07T22:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A890,雙溪,25.04,121.86,130.8274469253203,2015-08-08T10:00:00+08:00,2015-08-08T02:00:00+00:00,4.225133523333334,6.8,,6.8,2015-08-08T02:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A920,富貴角,25.26,121.57,152.49530603436537,2015-08-08T10:00:00+08:00,2015-08-08T02:00:00+00:00,4.225133523333334,12.8,,12.8,2015-08-08T02:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A931,三和,25.23,121.6,149.1426514040189,2015-08-08T09:00:00+08:00,2015-08-08T01:00:00+00:00,3.2251335233333336,6.9,,6.9,2015-08-08T01:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A940,金山,25.22,121.64,148.10429848516932,2015-08-08T06:00:00+08:00,2015-08-07T22:00:00+00:00,0.22513352333333334,8.4,,8.4,2015-08-07T22:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A950,鼻頭角,25.13,121.92,141.92256347312312,2015-08-08T10:00:00+08:00,2015-08-08T02:00:00+00:00,4.225133523333334,55.3,,55.3,2015-08-08T02:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A970,三貂角,25.01,122.0,131.29654207224763,2015-08-08T03:00:00+08:00,2015-08-07T19:00:00+00:00,-2.7748664766666664,30.7,,30.7,2015-08-07T19:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A980,社子,25.11,121.47,136.3702258671874,2015-08-08T07:00:00+08:00,2015-08-07T23:00:00+00:00,1.2251335233333334,17.4,,17.4,2015-08-07T23:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A990,大崙尾山,25.11,121.57,135.8183174959368,2015-08-08T06:00:00+08:00,2015-08-07T22:00:00+00:00,0.22513352333333334,16.1,,16.1,2015-08-07T22:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A9A0,大直,25.08,121.54,132.57192796799828,2015-08-08T03:00:00+08:00,2015-08-07T19:00:00+00:00,-2.7748664766666664,17.7,,17.7,2015-08-07T19:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A9B0,石牌,25.12,121.51,137.16927758816013,2015-08-08T04:00:00+08:00,2015-08-07T20:00:00+00:00,-1.7748664766666666,3.2,,3.2,2015-08-07T20:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A9C0,天母,25.12,121.54,137.01612463639069,2015-08-08T08:00:00+08:00,2015-08-08T00:00:00+00:00,2.2251335233333336,10.6,,10.6,2015-08-08T00:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A9E0,士林,25.09,121.5,133.90754757436386,2015-08-08T04:00:00+08:00,2015-08-07T20:00:00+00:00,-1.7748664766666666,10.3,,10.3,2015-08-07T20:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
2015211N13162,SOUDELOR,201513,AUTOPRECP_WIND,C0A9F0,內湖,25.08,121.58,132.46878982619387,2015-08-08T03:00:00+08:00,2015-08-07T19:00:00+00:00,-2.7748664766666664,8.5,,8.5,2015-08-07T19:00:00+00:00,0.0,same_underlying_station_crosscheck_window_undocumented,https://rdc28.cwa.gov.tw/TDB/public/wind_gust_statistics/search,7f79cab6a48738afc6841d43e77955d1aaaa4cec0d4381e0dfb63382072ac115,[验证过]
