SID,NAME,crossing_time,crossing_lon,crossing_lat,JTWC,JMA,CMA,HKO,KMA,JTWC_minus_CMA_ms,JMA_minus_CMA_ms,CMA_minus_CMA_ms,HKO_minus_CMA_ms,KMA_minus_CMA_ms
2015012N09146,MEKKHALA,2015-01-17 08:49:51.774547582+00:00,125.46971101003204,12.135920707119974,28.84072006047135,27.225623753448417,29.277199202206983,32.225207917816135,33.58374916896561,-0.4364791417356315,-2.051575448758566,0.0,2.948008715609152,4.306549966758627
2015171N15112,KUJIRA,2015-06-22 10:25:05.852450188+00:00,110.5318089710604,18.794552823151637,20.398569441087105,23.15,22.25090179072844,18.005555555555556,21.905922936902073,-1.8523323496413369,0.8990982092715569,0.0,-4.245346235172885,-0.34497885382636895
2015183N13130,LINFA,2015-07-04 18:52:37.940647800+00:00,122.41227942644996,17.258480382366677,23.92166666666667,22.773938652280943,23.416784884951763,25.722222222222225,26.375049763392056,0.5048817817149072,-0.64284623267082,0.0,2.3054373372704617,2.9582648784402927
2015184N08172,NANGKA,2015-07-16 13:26:12.253692103+00:00,134.1802719052754,33.239456189449214,29.95252843761181,34.77924204761126,30.424872365706815,37.967398801583414,38.1122825269779,-0.4723439280950039,4.354369681904448,0.0,7.542526435876599,7.687410161271085
2015211N13162,SOUDELOR,2015-08-07 21:46:29.519315939+00:00,121.59336893956004,23.88874332383249,46.3383150405735,39.826803041893164,42.93365140284062,45.63562374316881,44.548825509107054,3.404663637732881,-3.1068483609474526,0.0,2.70197234032819,1.615174106266437
2015226N12151,GONI,2015-08-24 19:27:51.694829417+00:00,130.1220299729032,32.16133787535462,49.70850633153449,43.788894335370166,47.46987189528869,46.36111655759239,42.87333741819429,2.238634436245796,-3.6809775599185244,0.0,-1.1087553376963015,-4.596534477094401
2015256N16113,VAMCO,2015-09-14 13:24:28.881122901+00:00,108.5479943664651,15.623467042235657,16.18379590465269,18.005555555555556,16.211987170394174,14.829708858049484,19.64352348154098,-0.028191265741483562,1.7935683851613824,0.0,-1.38227831234469,3.4315363111468073
2015263N14148,DUJUAN,2015-09-28 10:11:14.533429482+00:00,121.6437888808764,24.139579013235952,50.73407474341453,44.022900502840955,42.35452047616454,51.20346529486835,43.390406968371245,8.379554267249993,1.6683800266764166,0.0,8.848944818703814,1.035886492206707
2015273N12130,MUJIGAE,2015-10-01 16:51:47.620478159+00:00,121.56524682086008,15.605268992549975,14.353000000000002,20.09043937278489,16.323621797873493,15.433333333333334,18.25470299645582,-1.9706217978734912,3.7668175749113963,0.0,-0.8902884645401592,1.9310811985823264
2015285N14151,KOPPU,2015-10-17 21:41:33.127381935+00:00,121.669204205215,16.0,52.995419969608214,48.27843725419943,48.39868969324089,51.83987810352137,45.62712830016183,4.596730276367325,-0.1202524390414581,0.0,3.441188410280482,-2.771561393079061
2015344N07145,MELOR,2015-12-15 03:35:15.360631085+00:00,121.44123998246982,13.17938000876508,51.69057496487737,43.72777777777778,49.692172456803256,44.76198251744016,38.281045687594855,1.9984025080741148,-5.9643946790254745,0.0,-4.930189939363096,-11.411126769208401
