agency,reference,events,mean_difference_ms,mean_difference_95ci_low,mean_difference_95ci_high,mae_ms,mae_95ci_low,mae_95ci_high,rmse_ms,rmse_95ci_low,rmse_95ci_high,difference_sd_ms,difference_sd_95ci_low,difference_sd_95ci_high,interpretation
JTWC,CMA normalized 10-minute landfall analysis,108,0.375530510876821,-0.30089908608457144,1.0539031696738583,2.7917962297915064,2.344943283057124,3.230671482402729,3.633642169233848,3.106029663227159,4.134109416373571,3.6310343045646243,3.1022845217162693,4.1050286068498645,descriptive_proxy
JMA,CMA normalized 10-minute landfall analysis,108,-0.7707740431690893,-1.4602798291055927,-0.082469132553757,2.7216063892165923,2.279329110520726,3.224417197050002,3.718969453911159,3.0273077625588507,4.4416015601571885,3.655180994199355,3.0110389275966836,4.279883068943863,descriptive_proxy
CMA,CMA normalized 10-minute landfall analysis,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,self_reference
HKO,CMA normalized 10-minute landfall analysis,108,1.4121813648358665,0.8857841587723964,1.977436959387978,2.489773587660239,2.1209779170095135,2.8757543326816095,3.203663354562848,2.734222006338909,3.6559763728298864,2.889028374771861,2.4650480466652023,3.2687506119720684,descriptive_proxy
KMA,CMA normalized 10-minute landfall analysis,108,-1.2201485539402963,-2.018566999916473,-0.4578690913998761,3.301829935119279,2.8106098060031446,3.812585075664963,4.32759279187811,3.639371652262443,5.005409595170798,4.17138008370517,3.555361834505997,4.740715017692444,descriptive_proxy
